time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1713398624999886000,132.621886,1.624005056,1.121912863,43.06112457,29.64339148,180.5164032,4.729531118,3.384682029,-82.34344236,1.130508448
1713398625999885600,133.6218855,1.433681743,0.9490987411,34.31731228,29.64337989,180.5164032,4.728957082,3.385484005,-82.34344248,1.249380926
1713398626999875000,134.621875,1.27787301,1.185867769,44.15680629,29.64336952,180.5164032,4.73121168,3.38233249,-82.34344259,1.176066901
1713398627999877000,135.6218772,1.023919893,1.178084235,42.73891187,29.6433589,180.5164032,4.730693986,3.383056524,-82.3434427,1.206556358
1713398628999883800,136.6218838,0.8553889571,1.127396655,50.24316358,29.6433508,180.5164032,4.73032561,3.383571583,-82.34344278,0.9936684694
1713398629999892000,137.6218921,0.5984410597,1.134134485,47.94508513,29.6433413,180.5164032,4.72851164,3.386106127,-82.34344288,1.041370844
1713398630999892200,138.6218923,0.03706629295,1.099769128,49.75602494,29.64333192,180.5164032,4.728231695,3.386497021,-82.34344298,0.944983985
1713398631999895600,139.6218955,-0.4213066548,1.119983719,49.11199348,29.64332062,180.5164032,4.726741602,3.388576525,-82.34344309,0.9534214709
1713398632999901700,140.6219016,-0.6103340238,0.9816857807,37.64312656,29.64330838,180.5164032,4.727692253,3.387250064,-82.34344322,1.136224011
1713398633999907000,141.621907,-0.5763244228,0.728117892,33.23992447,29.64329902,180.5164032,4.726755197,3.388557561,-82.34344332,1.029955019
1713398634999913700,142.6219138,-0.8339118268,0.6106759088,27.65906906,29.64328944,180.5164032,4.726214545,3.389311597,-82.34344342,1.084863439
1713398635999918800,143.6219189,-1.042536546,1.172148771,43.75128341,29.64327886,181.9190979,4.730909904,3.382754575,-82.34344369,1.186528313
1713398636999927000,144.621927,-1.273641868,1.185280338,49.19709723,29.64327163,181.9190979,4.732106106,3.381081015,-82.34344396,1.061933556
1713398637999932400,145.6219324,-1.219606899,1.149831132,46.0478457,29.64326041,181.9190979,4.730350218,3.383537179,-82.3434444,1.107012214
1713398638999936500,146.6219365,-1.474500642,1.185264136,46.80237964,29.64325051,181.9190979,4.72975916,3.384363355,-82.34344478,1.101545157
1713398639999939300,147.6219392,-1.272065548,1.170701169,55.19105966,29.64324112,181.9190979,4.732356733,3.380730215,-82.34344559,0.9435838237
1713398640999942400,148.6219424,-1.260351149,1.131263311,47.03751864,29.64322829,181.9190979,4.730023507,3.383993891,-82.34344563,1.081289377
1713398641999945200,149.6219453,-1.5800006,1.176361768,46.94517558,29.64321688,181.9190979,4.730496847,3.383332177,-82.34344606,1.113576702
1713398642999947000,150.621947,-1.985050283,1.193598757,47.63731823,29.64320789,184.0345459,4.732186842,3.380968016,-82.34344661,1.076020328
1713398643999949600,151.6219495,-2.494718044,1.041244122,40.48076504,29.643197,184.0345459,4.727761113,3.387153951,-82.34344749,1.088797319
1713398644999951600,152.6219517,-2.535314237,1.171168537,46.90002097,29.64318788,184.0345459,4.730827055,3.382870439,-82.34344823,1.085337924
1713398645999954000,153.6219539,-2.679099367,1.166650523,55.8742888,29.64318217,184.0345459,4.730026462,3.383989762,-82.343451,0.9030004991
1713398646999955700,154.6219558,-3.030482607,1.208663026,60.42412968,29.64317392,184.0345459,4.731208352,3.382337145,-82.34345017,0.8479088194
1713398647999957500,155.6219575,-3.007900476,1.21124763,54.65057773,29.64316276,184.0345459,4.732693641,3.380258561,-82.34345201,0.9630817135
1713398648999959600,156.6219595,-2.811371233,1.22107044,44.37551107,29.6431477,187.6328278,4.737360747,3.373714598,-82.3434538,1.217117134
1713398649999961000,157.6219612,-3.168032197,1.219311049,43.15910378,29.64313573,187.6328278,4.735493036,3.376335696,-82.34345538,1.213189316
1713398650999962400,158.6219624,-2.972756598,1.203290409,43.86219862,29.64312322,187.6328278,4.734029354,3.378387649,-82.34345489,1.203142535
1713398651999963600,159.6219636,-2.956138392,1.196568394,46.56356986,29.64311254,187.6328278,4.735485749,3.376345917,-82.34345798,1.137562645
1713398652999965200,160.6219651,-2.924059651,1.210372576,39.79225635,29.6430969,187.6328278,4.738228426,3.372495874,-82.34346134,1.351181364
1713398653999965700,161.6219656,-2.555724798,0.533217759,22.04263345,29.64308331,187.6328278,4.729788957,3.384321712,-82.34346388,1.307801937
1713398654999967700,162.6219678,-2.972610304,1.191421295,47.3146526,29.6430751,187.6328278,4.733907487,3.378558411,-82.3434661,1.102885446
1713398655999968000,163.621968,-2.712482872,1.200173822,48.47935835,29.64306263,188.2679901,4.737420088,3.37363127,-82.34346669,1.09276081
1713398656999968800,164.6219688,-3.351481889,1.213980275,78.24487987,29.64306195,188.2679901,4.735086065,3.376906423,-82.34346616,0.6156943474
1713398657999970600,165.6219705,-3.069924863,1.190786852,52.66992424,29.64304686,188.2679901,4.73612686,3.375446548,-82.34346828,0.9691654825
1713398658999971300,166.6219714,-2.775353041,1.106736381,36.38475995,29.64302924,188.2679901,4.734208183,3.378137048,-82.34347053,1.361676578
1713398659999971800,167.6219719,-2.569201105,1.061076,38.33127629,29.64302011,188.2679901,4.732477689,3.380560894,-82.34347635,1.25583659
1713398660999972900,168.6219729,-2.847713807,1.16442751,43.3381039,29.6430105,188.2679901,4.732644629,3.380327181,-82.34347641,1.197706409
1713398661999972400,169.6219724,-3.096899106,1.166106581,42.04758585,29.64299999,188.2679901,4.733771763,3.378748574,-82.34347732,1.233991794
1713398662999974000,170.6219739,-3.299446352,1.17936397,43.51926145,29.64299006,188.2679901,4.734304621,3.378001893,-82.34347647,1.182421854
1713398663999974000,171.6219739,-3.306568416,1.09530854,43.24678517,29.64298166,188.2679901,4.73170718,3.381639277,-82.34347873,1.134414338
1713398664999975000,172.6219749,-3.34494938,1.186815689,47.20894871,29.6429719,188.2679901,4.736696744,3.374646794,-82.34347939,1.106973152
1713398665999974400,173.6219744,-3.405266155,1.026726372,47.47114156,29.6429628,188.9125519,4.732395361,3.380676142,-82.34348396,0.9788103638
1713398666999975200,174.6219751,-3.318621617,1.177965966,47.54583925,29.64295026,188.9125519,4.736049472,3.37555513,-82.34348615,1.1091046
1713398667999978500,175.6219785,-3.587826979,1.152771401,48.40937246,29.64294246,188.9125519,4.733733543,3.378802122,-82.34348753,1.058688265
1713398668999975700,176.6219756,-3.714581236,1.186652553,46.89509871,29.64293172,188.9125519,4.737069546,3.374123463,-82.34348727,1.117246696
1713398669999976700,177.6219768,-3.765951888,1.115444723,62.3868473,29.64292357,188.9125519,4.736101659,3.375481907,-82.34348808,0.7742559793
1713398670999976200,178.6219761,-4.039132166,1.19360231,49.6278948,29.64291081,188.9125519,4.736801749,3.374499403,-82.34349037,1.032574622
1713398671999977500,179.6219775,-3.880341709,1.193593436,43.26992823,29.64289734,188.9125519,4.739298847,3.370991467,-82.34349279,1.213373128
1713398672999977200,180.6219773,-3.81336245,1.081522649,46.89732508,29.64288817,188.9125519,4.737222374,3.373908893,-82.34349495,1.049380306
1713398673999977500,181.6219775,-4.260179755,1.172659382,45.14340242,29.64287753,188.9125519,4.73878279,3.371716878,-82.34349759,1.152042512
1713398674999977500,182.6219775,-4.205028969,1.171743308,46.47838256,29.64286895,188.9125519,4.73987117,3.370186689,-82.34349789,1.120282043
1713398675999977500,183.6219775,-4.353036297,1.183385377,46.54201146,29.64285731,188.9125519,4.74101999,3.368570392,-82.34349997,1.124258717
1713398676999977200,184.6219773,-4.429665771,1.177730273,44.49923859,29.64284642,188.9125519,4.740276744,3.369616214,-82.34350193,1.162243103
1713398677999977500,185.6219775,-4.52753807,1.175277205,45.28299267,29.64283612,188.9125519,4.740085371,3.369885415,-82.34350378,1.141611013
1713398678999977200,186.6219773,-4.452990701,1.168863453,44.71122484,29.64282542,188.9125519,4.74032203,3.369552505,-82.3435057,1.168510449
1713398679999978000,187.621978,-4.558287297,1.166873843,47.15279836,29.64281574,188.9125519,4.739235836,3.371080053,-82.34350744,1.101161271
1713398680999977500,188.6219775,-4.884632353,1.178260943,45.99653295,29.6428058,188.9125519,4.739913942,3.370126534,-82.34350922,1.128656259
1713398681999977200,189.6219773,-4.764292316,1.166989492,42.73085944,29.64279405,189.4284058,4.738081289,3.372702586,-82.34351148,1.213849858
1713398682999977700,190.6219778,-5.067310004,1.166513645,44.8177639,29.64278483,189.4284058,4.736633863,3.374735053,-82.34351323,1.153023678
1713398683999978200,191.6219783,-5.4697204,1.188005764,50.05529158,29.6427776,189.4284058,4.73437233,3.377906996,-82.34351461,1.032935682
1713398684999978000,192.621978,-5.576306498,1.178988206,49.02857854,29.6427665,187.7635766,4.731705101,3.381642185,-82.34350628,1.047006797
1713398685999978000,193.621978,-5.384204026,1.1670526,43.45135005,29.64275427,186.4600318,4.731719999,3.38162134,-82.34350698,1.201412265
1713398686999979800,194.6219797,-5.668909644,1.171266175,49.23089777,29.6427482,190.6178982,4.731234801,3.382300148,-82.34351178,1.061335322
1713398687999978000,195.621978,-5.565843957,1.168646239,44.90597998,29.6427368,189.3812875,4.731590522,3.381802503,-82.34351335,1.164629463
